id,gender,field,major,study_year,gpa,ai_knowledge,utility_grade,teaching_benefits,learning_benefits,evaluation_benefits,process_concerns,q2_ai_sources,q2_number_1_internet,q2_number_2_books_papers,q2_number_3_social_media,q2_number_4_discussions,q2_number_5_not_informed,q3_number_1_ai_dehumanization,q3_number_2_job_replacement,q3_number_3_problem_solving,q3_number_4_ai_rulling_society
69,1,Other,1,1,8.7,6,9,Neutral,Neutral,Strongly Disagree,Disagree,Internet,1,0,0,0,0,2,3,4,2
70,1,Other,1,1,7.7,4,6,Strongly Disagree,Disagree,Neutral,Neutral,Internet;Social media,1,0,1,0,0,4,3,4,4
71,1,Other,2,2,6.7,9,10,Neutral,Disagree,Disagree,Strongly Disagree,Internet;Social media,1,0,1,0,0,1,3,4,1
72,2,Other,3,2,8.7,10,10,Neutral,Neutral,Strongly Disagree,Neutral,Internet;Social media,1,0,1,0,0,1,5,5,5
73,2,Other,2,2,9.2,8,10,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Internet,1,0,0,0,0,2,2,2,2
74,1,Other,2,2,8.7,6,5,Neutral,Disagree,Disagree,Strongly Disagree,Internet,1,0,0,0,0,3,4,4,2
75,1,Other,2,2,8.2,5,5,Disagree,Disagree,Neutral,Strongly Disagree,I don't inform myself about AI,0,0,0,0,1,3,1,2,1
76,2,Other,3,2,5.7,4,7,Disagree,Strongly Disagree,Disagree,Neutral,Internet,1,0,0,0,0,2,4,5,3
77,2,Other,1,1,8.7,7,10,Neutral,Strongly Disagree,Neutral,Disagree,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,2,5,5,2
78,1,Other,1,1,8.7,4,8,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Internet,1,0,0,0,0,2,4,4,3
79,2,Other,1,1,7.2,4,7,Strongly Disagree,Disagree,Neutral,Strongly Disagree,I don't inform myself about AI,0,0,0,0,1,3,3,2,3
80,1,Other,1,1,7.7,8,8,Neutral,Strongly Disagree,Neutral,Neutral,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,1,2,5,1
81,1,Other,3,1,7.2,8,8,Neutral,Disagree,Neutral,Neutral,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,2,4,5,2
82,2,Other,2,1,5.7,3,3,Disagree,Disagree,Neutral,Disagree,Internet,1,0,0,0,0,4,4,2,3
83,1,Other,3,1,7.7,7,8,Neutral,Strongly Disagree,Disagree,Disagree,Internet;Social media,1,0,1,0,0,3,4,4,3
84,2,Other,2,1,6.7,5,7,Disagree,Neutral,Disagree,Neutral,Social media,0,0,1,0,0,4,4,4,4
85,1,Other,1,2,8.2,6,6,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,3,3,4,3
86,2,Other,1,2,5.7,1,6,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,I don't inform myself about AI,0,0,0,0,1,5,5,2,3
87,2,Other,1,1,7.2,8,7,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Internet,1,0,0,0,0,1,1,5,1
88,2,Other,3,1,8.7,6,7,Neutral,Strongly Disagree,Neutral,Disagree,Social media,0,0,1,0,0,2,2,4,3
89,2,Other,1,1,6.2,9,10,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Books/Scientific papers (physical/online format),0,1,0,0,0,1,1,5,1
90,2,Other,1,1,8.7,2,2,Disagree,Neutral,Strongly Disagree,Disagree,I don't inform myself about AI,0,0,0,0,1,2,4,4,4
91,2,Other,3,1,5.2,2,2,Neutral,Neutral,Neutral,Agree,Discussions with family/friends,0,0,0,1,0,2,4,2,4
